Team,GP,TOI/GP,W,L,OTL,ROW,Points,Point %,CF/60,CA/60,CF%,FF/60,FA/60,FF%,SF/60,SA/60,SF%,GF/60,GA/60,GF%,xGF/60,xGA/60,xGF%,SCF/60,SCA/60,SCF%,SCSF/60,SCSA/60,SCSF%,SCGF/60,SCGA/60,SCGF%,SCSH%,SCSV%,HDCF/60,HDCA/60,HDCF%,HDSF/60,HDSA/60,HDSF%,HDGF/60,HDGA/60,HDGF%,HDSH%,HDSV%,MDCF/60,MDCA/60,MDCF%,MDSF/60,MDSA/60,MDSF%,MDGF/60,MDGA/60,MDGF%,MDSH%,MDSV%,LDCF/60,LDCA/60,LDCF%,LDSF/60,LDSA/60,LDSF%,LDGF/60,LDGA/60,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Date
Detroit Red Wings,82,51:21,32,40,10,29,74,0.451,50.47,58.55,46.29,38.13,45.11,45.81,28.95,33.36,46.47,2.65,3.43,43.56,2.5,2.99,45.57,25.36,30.62,45.3,15.57,18.62,45.54,2.15,2.69,44.41,13.82,85.54,10.37,13.29,43.83,7.97,9.63,45.26,1.28,1.82,41.28,16.1,81.07,14.99,17.33,46.38,7.61,8.99,45.84,0.87,0.87,50.0,11.42,90.33,22.2,25.56,46.48,11.84,13.47,46.79,0.43,0.53,44.78,3.61,96.08,9.15,89.71,0.989,2022-10-07
Edmonton Oilers,82,50:57,49,27,6,44,104,0.634,59.53,54.22,52.34,44.41,41.84,51.49,32.71,31.2,51.18,3.06,2.77,52.46,2.96,2.59,53.31,28.8,27.93,50.77,17.36,16.97,50.56,2.6,2.15,54.68,14.97,87.31,12.41,11.04,52.91,9.3,8.2,53.16,1.82,1.35,57.47,19.6,83.54,16.4,16.89,49.27,8.06,8.77,47.87,0.78,0.8,49.09,9.63,90.83,27.35,23.35,53.95,14.14,12.61,52.87,0.42,0.53,43.94,2.94,95.79,9.35,91.12,1.005,2022-10-07
Florida Panthers,82,50:26,58,18,6,55,122,0.744,66.52,50.77,56.72,49.99,38.53,56.47,37.73,29.21,56.36,3.79,2.63,59.05,3.46,2.61,57.02,35.44,26.68,57.05,22.35,16.77,57.14,3.15,2.12,59.78,14.08,87.37,14.58,11.74,55.4,11.34,8.76,56.42,2.12,1.38,60.58,18.67,84.27,20.86,14.94,58.27,11.01,8.01,57.89,1.03,0.74,58.2,9.35,90.76,27.4,21.05,56.56,13.77,10.79,56.05,0.54,0.42,56.06,3.9,96.1,10.03,91.01,1.01,2022-10-07
Los Angeles Kings,82,50:57,44,27,11,40,99,0.604,60.61,51.71,53.96,46.68,38.38,54.88,33.83,27.54,55.12,2.64,2.44,51.98,2.93,2.58,53.16,30.05,27.44,52.27,17.72,15.72,52.98,2.08,2.1,49.83,11.75,86.67,12.15,11.57,51.21,8.73,8.44,50.84,1.57,1.41,52.66,17.93,83.33,17.91,15.87,53.02,8.99,7.28,55.25,0.52,0.69,42.86,5.75,90.53,32.42,25.24,56.23,14.7,10.45,58.45,0.4,0.27,59.57,2.73,97.39,7.81,91.14,0.989,2022-10-07
Minnesota Wild,82,50:19,53,22,7,48,113,0.689,57.3,54.53,51.24,43.38,41.1,51.35,32.28,29.91,51.91,3.62,2.63,57.91,2.66,2.43,52.32,28.45,24.19,54.05,17.8,14.99,54.28,2.91,2.01,59.17,16.34,86.61,10.99,9.46,53.73,8.49,6.99,54.84,1.74,1.32,56.87,20.55,81.08,17.46,14.73,54.25,9.3,8.0,53.78,1.16,0.68,62.99,12.5,91.45,25.43,26.27,49.18,13.08,13.42,49.37,0.61,0.48,56.0,4.67,96.42,11.22,91.2,1.024,2022-10-07
Montreal Canadiens,82,50:08,22,49,11,19,55,0.335,52.71,59.55,46.95,39.08,45.24,46.35,29.55,33.61,46.79,2.57,3.43,42.82,2.48,3.03,44.97,25.93,31.61,45.07,15.13,19.01,44.32,2.07,2.87,41.89,13.69,84.88,10.86,13.12,45.28,7.69,9.62,44.44,1.17,2.07,36.04,15.18,78.45,15.07,18.49,44.91,7.44,9.4,44.19,0.9,0.8,52.99,12.16,91.46,23.1,24.18,48.86,12.86,12.94,49.83,0.44,0.42,50.85,3.41,96.73,8.69,89.8,0.985,2022-10-07
New Jersey Devils,82,51:49,27,46,9,24,63,0.384,57.66,56.13,50.67,43.8,43.11,50.4,31.43,31.05,50.31,2.85,3.47,45.09,2.71,2.69,50.12,29.65,28.03,51.41,17.65,16.45,51.76,2.44,2.77,46.88,13.84,83.18,11.75,9.9,54.27,8.53,7.39,53.59,1.67,1.69,49.58,19.54,77.06,17.91,18.13,49.69,9.12,9.07,50.16,0.78,1.07,41.98,8.51,88.16,28.75,28.74,50.01,12.69,13.02,49.37,0.35,0.65,35.21,2.78,95.01,9.07,88.81,0.979,2022-10-07
Nashville Predators,82,50:04,45,30,7,41,97,0.591,54.55,56.11,49.29,41.88,42.27,49.77,29.41,31.01,48.68,2.88,2.72,51.44,2.61,2.56,50.49,26.9,26.97,49.93,16.16,16.92,48.85,2.41,2.15,52.88,14.92,87.31,10.16,9.7,51.14,7.48,7.5,49.95,1.61,1.37,53.92,21.48,81.68,16.75,17.27,49.23,8.68,9.42,47.94,0.8,0.77,50.93,9.26,91.78,25.0,26.01,49.01,12.01,12.84,48.32,0.35,0.44,44.44,2.92,96.59,9.79,91.23,1.01,2022-10-07
New York Islanders,82,51:48,37,35,10,35,84,0.512,50.95,59.29,46.21,38.22,44.05,46.45,28.15,32.26,46.6,2.5,2.68,48.23,2.52,2.79,47.38,26.71,31.24,46.09,15.89,18.32,46.45,1.95,2.15,47.59,12.27,88.28,10.78,11.91,47.51,8.14,9.11,47.17,1.3,1.4,48.17,15.97,84.65,15.93,19.34,45.17,7.75,9.21,45.71,0.65,0.75,46.46,8.38,91.87,21.65,25.51,45.91,10.97,12.78,46.2,0.44,0.37,54.39,3.99,97.13,8.88,91.68,1.006,2022-10-07
New York Rangers,82,51:45,52,24,6,48,110,0.671,50.26,55.75,47.41,38.23,41.58,47.9,28.03,29.77,48.5,2.64,2.29,53.58,2.51,2.57,49.4,25.36,28.78,46.84,15.17,16.37,48.1,2.16,1.95,52.58,14.26,88.08,11.13,11.72,48.7,8.26,8.47,49.37,1.51,1.33,53.23,18.32,84.31,14.24,17.06,45.48,6.91,7.9,46.66,0.65,0.62,51.11,9.41,92.13,22.35,24.4,47.81,11.61,12.07,49.01,0.38,0.31,55.1,3.29,97.42,9.43,92.31,1.017,2022-10-07
